african tea;5000;*tea;restaurant
african coffee;5000;*coffee;restaurant
mango;6500;*natural juice;restaurant
passion;6500;*natural juice;restaurant
parsteque / anana;6500;*natural juice;restaurant
ana/ tunda damu /passion;7500;*natural juice;restaurant
tropical mix;7500;*natural juice;restaurant
anana mint;6500;*natural juice;restaurant
lemon / ginger;7500;*health juice;restaurant
lemon / mint;7500;*health juice;restaurant
scotch coffee;5000;*coffee;restaurant
café au lait;5000;*coffee;restaurant
thé au lait;5000;*tea;restaurant
eau citroné;1000;*natural juice;restaurant
Chateau marlene chardonnay;50000;*white wines;mini bar
Chateau marlene cabernet Sauvignon;50000;*white wines;mini bar
Chateau Marlene Merlot;50000;*white wines;mini bar
Chateau Marlene Merlot;50000;#*white wines;mini bar
Glass of house wine;14000;*wine by glass;mini bar
shot martini;5000;*wine by glass;mini bar